,Rank,Song Title,Song Artist,Year,Genre
7,8,Footloose,Kenny Loggins,1984,Popular
8,9,Thriller,Michael Jackson,1982,Popular
9,10,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987,Popular
10,11,Girls Just Want To Have Fun,Cyndi Lauper,1984,Popular
11,12,Summer Of 69,Bryan Adams,1984,Rock
12,13,The Way You Make Me Feel,Michael Jackson,1987,Popular
13,14,Jessie's Girl,Rick Springfield,1981,Popular
14,15,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,1987,Ballad
15,16,Pretty Young Thing (P.Y.T),Michael Jackson,1982,Popular
16,17,Push It,Salt-N-Pepa,1987,Popular
17,18,Faithfully,Journey,1983,Ballad
18,19,Bust A Move,Young M.C.,1989,Popular
19,20,Crazy Little Thing Called Love,Queen,1980,Popular
20,21,Beat It,Michael Jackson,1983,Popular
21,22,Sweet Child O' Mine,Guns N' Roses,1987,Rock
22,23,Take Me Home Tonight,Eddie Money,1986,Oldies
23,24,Red Red Wine,UB40,1988,Popular
24,25,What I Like About You,Romantics,1980,Rock
25,26,Like A Prayer,Madonna,1989,Popular
26,27,Kiss,Prince,1986,Popular
27,28,White Wedding,Billy Idol,1983,Popular
28,29,I Love Rock 'N Roll,Joan Jett & Blackhearts,1982,Popular
29,30,Another One Bites The Dust,Queen,1981,Popular
30,31,Come on Eileen,Dexy's Midnight Runners,1982,Popular
31,32,Super Freak,Rick James,1981,Popular
32,33,Mony Mony,Billy Idol,1987,Popular
33,34,Wild Thing,Tone Loc,1988,Popular
34,35,It's Tricky,Run-D.M.C.,1986,Popular
35,36,Sharp Dressed Man,ZZ Top,1983,Rock
36,37,Take On Me,a-ha,1985,Popular
37,38,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,1987,Alternative
38,39,Hit Me With Your Best Shot,Pat Benatar,1980,Alternative
39,40,Fishin' in the Dark,The Nitty Gritty Dirt Band,1987,Country
40,41,Smooth Criminal,Michael Jackson,1987,Popular
41,42,You Spin Me Round (Like A Record),Dead Or Alive,1984,Alternative
42,43,Rock With You,Michael Jackson,1980,Popular
43,44,Any Way You Want It,Journey,1980,Rock
44,45,Copperhead Road,Steve Earle,1988,Popular
45,46,Walking On Sunshine,Katrina & The Waves,1985,Oldies
46,47,It Takes Two,Rob Base & D.J. E-Z Rock,1988,Popular
47,48,You Make My Dreams Come True,Daryl Hall & John Oates,1982,Oldies
48,49,"Forever And Ever, Amen",Randy Travis,1987,Country
49,50,The Safety Dance,Men Without Hats,1983,Oldies
50,51,Open Arms,Journey,1982,Ballad
51,52,All Night Long (All Night),Lionel Richie,1983,Popular
52,53,Your Love,Outfield,1985,Popular
53,54,Blister In The Sun,Violent Femmes,1982,Alternative
54,55,Jack & Diane,John Cougar,1982,Popular
55,56,Kokomo,Beach Boys,1988,Popular
56,57,1999,Prince,1983,Popular
57,58,Free Fallin',Tom Petty,1989,Rock
58,59,Funky Cold Medina,Tone Loc,1989,Popular
59,60,Eye Of The Tiger,Survivor,1982,Oldies
60,61,Wanna Be Startin' Somethin',Michael Jackson,1983,Popular
61,62,You Give Love A Bad Name,Bon Jovi,1986,Popular
62,63,Let's Go Crazy,Prince & The Revolution,1984,Popular
63,64,Could You Be Loved,Bob Marley & The Wailers,1980,Reggae
64,65,Get Down On It,Kool & The Gang,1981,Popular
65,66,Never Gonna Give You Up,Rick Astley,1987,Popular
66,67,Brass Monkey,Beastie Boys,1986,Alternative
67,68,Africa,Toto,1983,Ballad
68,69,You Dropped A Bomb On Me,Gap Band,1982,Popular
69,70,Wake Me Up Before You Go-Go,Wham!,1984,Popular
70,71,It's Raining Men,Weather Girls,1982,Popular
71,72,Back In Black,AC/DC,1980,Rock
72,73,Man In The Mirror,Michael Jackson,1987,Ballad
73,74,Pump Up The Jam,Technotronic Feat. Felly,1989,Popular
74,75,In Your Eyes,Peter Gabriel,1986,Alternative
75,76,Uptown Girl,Billy Joel,1983,Popular
76,77,Dead Man's Party,Oingo Boingo,1985,Popular
77,78,Paradise City,Guns N' Roses,1989,Rock
78,79,Dancing In The Dark,Bruce Springsteen,1984,Alternative
79,80,Let's Groove,"Earth, Wind & Fire",1981,Oldies
80,81,Conga,Gloria Estefan & Miami Sound Machine,1985,Popular
81,82,Every Little Thing She Does Is Magic,Police,1981,Popular
82,83,Could I Have This Dance,Anne Murray,1980,Ballad
83,84,Under Pressure,Queen & David Bowie,1981,Rock
84,85,Glory Days,Bruce Springsteen,1985,Popular
85,86,She's Got A Way,Billy Joel,1982,Oldies
86,87,Forever Young,Rod Stewart,1988,Alternative
87,88,Can't Fight This Feeling,REO Speedwagon,1985,Ballad
88,89,Dancing With Myself,Billy Idol,1981,Rock
89,90,Just Like Heaven,Cure,1987,Alternative
90,91,Funkytown,Lipps Inc.,1980,Oldies
91,92,Walk Like An Egyptian,Bangles,1986,Rock
92,93,You're The Inspiration,Chicago,1984,Ballad
93,94,Jump,Van Halen,1984,Rock
94,95,Tainted Love,Soft Cell,1982,Popular
95,96,Heaven,Bryan Adams,1985,Oldies
96,97,Here And Now,Luther Vandross,1989,Ballad
97,98,Nothin' But A Good Time,Poison,1988,Rock
98,99,Its Raining Men,Weather Girls,1983,Funk
99,100,Strokin,,,
0,1,Electric Slide,Marcia Griffiths,1990,Popular
1,2,Baby Got Back,Sir Mix-A-Lot,1992,Popular
2,3,Friends In Low Places,Garth Brooks,1990,Country
3,4,Cotton Eye Joe,Rednex,1994,Country
4,5,Macarena,Los Del Rio,1995,Popular
5,6,Ice Ice Baby,Vanilla Ice,1990,Popular
6,7,I Don't Want To Miss A Thing,Aerosmith,1998,Ballad
7,8,Amazed,Lonestar,1999,Ballad
8,9,Jump Around,House Of Pain,1992,Popular
9,10,It's Your Love,Tim McGraw with Faith Hill,1997,Country
10,11,My Best Friend,Tim McGraw,1999,Country
11,12,Boot Scootin' Boogie,Brooks & Dunn,1991,Country
12,13,This Is How We Do It,Montell Jordan,1995,Popular
13,14,All My Life,K-Ci & JoJo,1997,Ballad
14,15,When You Say Nothing At All,Alison Krauss,1995,Country
15,16,Tootsee Roll,69 Boyz,1994,Popular
16,17,Gettin' Jiggy Wit It,Will Smith,1997,Popular
17,18,I Cross My Heart,George Strait,1992,Country
18,19,U Can't Touch This,M.C. Hammer,1990,Popular
19,20,(Everything I Do) I Do It For You,Bryan Adams,1991,Ballad
20,21,Mambo No. 5 (A Little Bit Of...),Lou Bega,1999,Popular
21,22,Wannabe,Spice Girls,1996,Popular
22,23,Unforgettable,Nat King Cole & Natalie Cole,1991,Ballad
23,24,Grease Megamix,John Travolta & Olivia Newton-John,1996,Popular
24,25,Can You Feel The Love Tonight,Elton John,1994,Ballad
25,26,From This Moment On,Shania Twain,1998,Country
26,27,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory Featuring Freedom Williams,1990,Popular
27,28,Let's Get Married,Jagged Edge,1999,R&B
28,29,The Humpty Dance,Digital Underground,1990,Popular
29,30,Let Me Clear My Throat,DJ Kool,1997,Hip Hop
30,31,Poison,Bell Biv DeVoe,1990,Popular
31,32,No Diggity,Blackstreet Featuring Dr. Dre,1996,R&B
32,33,Everybody (Backstreet's Back),Backstreet Boys,1998,Popular
33,34,I'll Be,Edwin McCain,1998,Alternative
34,35,The Dance,Garth Brooks,1995,Country
35,36,Hypnotize,Notorious B.I.G.,1997,Popular
36,37,Have I Told You Lately,Rod Stewart,1993,Alternative
37,38,I'm Gonna Be (500 Miles),Proclaimers,1993,Popular
38,39,Truly Madly Deeply,Savage Garden,1997,Ballad
39,40,Crash Into Me,Dave Matthews Band,1996,Popular
40,41,C'mon 'N Ride It (The Train),Quad City DJ's,1996,Popular
41,42,Because You Loved Me,Celine Dion,1996,Popular
42,43,Wonderwall,Oasis,1995,Alternative
43,44,California Love,2Pac Featuring Dr. Dre & Roger Troutman,1996,Alternative
44,45,Good Vibrations,Marky Mark & The Funky Bunch Featuring Loletta Holloway,1991,Rap
45,46,Butterfly Kisses,Bob Carlisle,1997,Ballad
46,47,Jump On It,Sir Mix-A-Lot,1996,Rap
47,48,What Is Love,Haddaway,1993,Alternative
48,49,She Thinks My Tractor's Sexy,Kenny Chesney,1999,Country
49,50,Tootsie Roll,69 Boyz,1994,Popular
50,51,Apache,Sugarhill Gang,1995,Popular
51,52,I Want It That Way,Backstreet Boys,1999,Alternative
52,53,Shoop,Salt-N-Pepa,1993,Hip Hop
53,54,I Will Always Love You,Whitney Houston,1992,Popular
54,55,"I Like it, I Love it",Tim McGraw,1995,Country
55,56,Iris,Goo Goo Dolls,1998,Alternative
56,57,Thunderstruck,AC/DC,1990,Rock
57,58,You're Still The One,Shania Twain,1998,Country
58,59,Hot Hot Hot,Buster Poindexter,1995,Popular
59,60,Mo Money Mo Problems,Notorious B.I.G. Featuring Puff Daddy & Ma$e,1997,Hip Hop
60,61,I'm Too Sexy,Right Said Fred,1991,Popular
61,62,Ain't Going Down (Til The Sun Comes Up),Garth Brooks,1993,Country
62,63,Only Wanna Be With You,Hootie & The Blowfish,1995,Alternative
63,64,Me And You,Kenny Chesney,1996,Country
64,65,Groove Is In The Heart,Deee-Lite,1990,Popular
65,66,What I Got,Sublime,1996,Alternative
66,67,Time Of Your Life (Good Riddance),Green Day,1998,Alternative
67,68,Achy Breaky Heart,Billy Ray Cyrus,1992,Country
68,69,Whoomp! (There It Is),Tag Team,1994,Popular
69,70,To Make You Feel My Love,Garth Brooks,1998,Country
70,71,I Swear,All-4-One,1994,Ballad
71,72,Back That Thang Up,Juvenile,1999,
72,73,Now That We Found Love,Heavy D & The Boyz,1991,Hip Hop
73,74,Man! I Feel Like A Woman!,Shania Twain,1999,Country
74,75,Smooth,Santana Featuring Rob Thomas,1999,Popular
75,76,Hold On,Wilson Phillips,1990,Popular
76,77,Motownphilly,Boyz II Men,1991,R&B
